"","iso3c","year","iso2c","country","GiniCoeff","GDPperCapPPP","CO2emissions","region","capital","longitude","latitude","income","lending","EPIValue"
"1","AFG",2002,"AF","Afghanistan",NA,895.599148808249,0.0411292293382456,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.23
"2","AFG",2003,"AF","Afghanistan",NA,945.686929858971,0.0456188391285911,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.32
"3","AFG",2004,"AF","Afghanistan",NA,940.476298982224,0.0404152792464633,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.73
"4","AFG",2005,"AF","Afghanistan",NA,1039.40824176659,0.0544039684018999,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.78
"5","AFG",2006,"AF","Afghanistan",NA,1095.65562841162,0.0655247469435981,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.03
"6","AFG",2007,"AF","Afghanistan",NA,1245.05922295101,0.0878576421317263,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.31
"7","AFG",2008,"AF","Afghanistan",NA,1283.04098567395,0.158961557957085,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.82
"8","AFG",2009,"AF","Afghanistan",NA,1525.51705383899,0.249073529591755,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.36
"9","AFG",2010,"AF","Afghanistan",NA,1629.16729020532,0.30293638839023,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.56
"10","AFG",2011,"AF","Afghanistan",NA,1712.58871978343,0.425262104940417,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.71
"11","AFG",2012,"AF","Afghanistan",NA,1934.28563418865,0.688083612623934,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.57
"12","AGO",2002,"AO","Angola",NA,2858.89706878855,0.786223278204629,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",26.3
"13","AGO",2003,"AO","Angola",NA,2961.96457179672,0.543083666763623,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",26.72
"14","AGO",2004,"AO","Angola",NA,3256.65375398279,1.0866048972276,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27
"15","AGO",2005,"AO","Angola",NA,3838.26457174936,1.06941718451386,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27.33
"16","AGO",2006,"AO","Angola",NA,4614.59080935648,1.20087714742312,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27.76
"17","AGO",2007,"AO","Angola",NA,5613.23219621736,1.31109648310951,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27.85
"18","AGO",2008,"AO","Angola",42.72,6298.01243978425,1.29568651258368,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27.56
"19","AGO",2009,"AO","Angola",NA,6284.27490492998,1.35438857202617,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.18
"20","AGO",2010,"AO","Angola",NA,6360.84898012934,1.36933887792594,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.62
"21","AGO",2011,"AO","Angola",NA,6524.48118084089,1.3827521969442,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.63
"22","AGO",2012,"AO","Angola",NA,6758.27804986574,1.4722550379024,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.69
"23","ALB",2002,"AL","Albania",31.74,4785.88098074273,1.22954070946998,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",48.96
"24","ALB",2003,"AL","Albania",NA,5182.4903673827,1.4126971959616,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",49.22
"25","ALB",2004,"AL","Albania",NA,5652.60267276765,1.37621273504355,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",51.47
"26","ALB",2005,"AL","Albania",30.6,6199.91272686064,1.41249821101668,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",51.63
"27","ALB",2006,"AL","Albania",NA,7066.72564450283,1.30257636722163,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",52.85
"28","ALB",2007,"AL","Albania",NA,7658.40857808806,1.32233485532238,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",53.15
"29","ALB",2008,"AL","Albania",29.98,8769.0943361725,1.48431113888781,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",53.92
"30","ALB",2009,"AL","Albania",NA,9342.0812456971,1.49560019934969,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.25
"31","ALB",2010,"AL","Albania",NA,9303.93247566951,1.57857358391855,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.8
"32","ALB",2011,"AL","Albania",NA,9640.14459267576,1.80397241787674,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.47
"33","ALB",2012,"AL","Albania",28.96,10361.433216136,1.62472196333623,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.73
"34","ARE",2002,"AE","United Arab Emirates",NA,82369.6850171255,24.9565514457611,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",73.61
"35","ARE",2003,"AE","United Arab Emirates",NA,85563.6364172279,29.4670889001538,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",73.87
"36","ARE",2004,"AE","United Arab Emirates",NA,87843.7081074576,28.4814369917089,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",73.71
"37","ARE",2005,"AE","United Arab Emirates",NA,84338.3594071577,25.9145872267054,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",74.05
"38","ARE",2006,"AE","United Arab Emirates",NA,82754.2819759593,23.9545191641101,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",73.78
"39","ARE",2007,"AE","United Arab Emirates",NA,75426.793513296,22.5666231843064,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.66
"40","ARE",2008,"AE","United Arab Emirates",NA,69124.39621148,22.8045505440323,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.5
"41","ARE",2009,"AE","United Arab Emirates",NA,59100.3805379711,21.7975834681626,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.38
"42","ARE",2010,"AE","United Arab Emirates",NA,56245.4781588414,19.3065040405414,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.54
"43","ARE",2011,"AE","United Arab Emirates",NA,57594.1266833257,18.2700918243305,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.89
"44","ARE",2012,"AE","United Arab Emirates",NA,61172.9947875255,19.2522228882032,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.91
"45","ARG",2002,"AR","Argentina",53.79,10234.0568615494,3.29154139320549,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",46.56
"46","ARG",2003,"AR","Argentina",53.54,11235.9923548507,3.52557543531985,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",47.07
"47","ARG",2004,"AR","Argentina",50.18,12451.1310990134,4.06904976449296,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",47.21
"48","ARG",2005,"AR","Argentina",49.27,13845.2247850478,4.14123649643327,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",47.56
"49","ARG",2006,"AR","Argentina",48.26,15271.3549720702,4.43483714728094,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",48.01
