"","iso3c","iso2c","country","year","GINI","GDPPerCapPPP","CO2EmPerCap","region","capital","longitude","latitude","income","lending","EPI.2012"
"4","ALB","AL","Albania",2012,28.96,10361.433216136,1.62472196333623,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.73
"7","ARG","AR","Argentina",2012,42.49,19686.6091339069,4.56963523938012,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",49.55
"8","ARM","AM","Armenia",2012,30.48,7401.85639769464,1.91208959087599,"Europe & Central Asia (all income levels)","Yerevan","44.509","40.1596","Lower middle income","Blend",61.67
"12","AUT","AT","Austria",2012,30.48,45858.2468363681,7.38403220122062,"Europe & Central Asia (all income levels)","Vienna","16.3798","48.2201","High income: OECD","Not classified",78.32
"15","BEL","BE","Belgium",2012,27.59,41930.6618333441,8.28483788011157,"Europe & Central Asia (all income levels)","Brussels","4.36761","50.8371","High income: OECD","Not classified",66.61
"19","BGR","BG","Bulgaria",2012,36.01,16097.8343137084,6.14204310276862,"Europe & Central Asia (all income levels)","Sofia","23.3238","42.7105","Upper middle income","IBRD",64.01
"23","BLR","BY","Belarus",2012,26.53,17218.3561003897,6.68034097633136,"Europe & Central Asia (all income levels)","Minsk","27.5766","53.9678","Upper middle income","IBRD",67.69
"26","BOL","BO","Bolivia",2012,46.7,5899.78130262682,1.83551243792951,"Latin America & Caribbean (all income levels)","La Paz","-66.1936","-13.9908","Lower middle income","Blend",50.48
"27","BRA","BR","Brazil",2012,52.67,15246.2607662872,2.32225814003511,"Latin America & Caribbean (all income levels)","Brasilia","-47.9292","-15.7801","Upper middle income","IBRD",52.97
"30","BTN","BT","Bhutan",2012,38.81,7251.43319165982,1.09954135410126,"South Asia","Thimphu","89.6177","27.5768","Lower middle income","IDA",46.86
"34","CHE","CH","Switzerland",2012,31.64,57205.3721892359,4.71944729313164,"Europe & Central Asia (all income levels)","Bern","7.44821","46.948","High income: OECD","Not classified",87.67
"36","CHN","CN","China",2012,42.16,11219.927669958,7.41895460781301,"East Asia & Pacific (all income levels)","Beijing","116.286","40.0495","Upper middle income","IBRD",43
"39","COD","CD","Congo, Dem. Rep.",2012,42.1,652.38858743842,0.0364137681039835,"Sub-Saharan Africa (all income levels)","Kinshasa","15.3222","-4.325","Low income","IDA",25.01
"41","COL","CO","Colombia",2012,53.54,12058.461303685,1.70377260152499,"Latin America & Caribbean (all income levels)","Bogota","-74.082","4.60987","Upper middle income","IBRD",50.77
"43","CRI","CR","Costa Rica",2012,48.61,13839.4689225844,1.66877073956393,"Latin America & Caribbean (all income levels)","San Jose","-84.0089","9.63701","Upper middle income","IBRD",58.53
"46","CYP","CY","Cyprus",2012,34.31,31920.4454737569,6.12734491983108,"Europe & Central Asia (all income levels)","Nicosia","33.3736","35.1676","High income: nonOECD","Not classified",66.23
"47","CZE","CZ","Czech Republic",2012,26.13,28727.9072629398,9.61268363875771,"Europe & Central Asia (all income levels)","Prague","14.4205","50.0878","High income: OECD","Not classified",81.47
"49","DJI","DJ","Djibouti",2012,45.13,2932.23334234064,0.60610220275265,"Middle East & North Africa (all income levels)","Djibouti","43.1425","11.5806","Lower middle income","IDA",28.52
"51","DNK","DK","Denmark",2012,29.08,44246.3306156663,6.5108659961814,"Europe & Central Asia (all income levels)","Copenhagen","12.5681","55.6763","High income: OECD","Not classified",76.92
"52","DOM","DO","Dominican Republic",2012,45.68,11740.0536291201,2.23991337893829,"Latin America & Caribbean (all income levels)","Santo Domingo","-69.8908","18.479","Upper middle income","IBRD",53.24
"54","ECU","EC","Ecuador",2012,46.57,10512.4366955457,2.62477365500928,"Latin America & Caribbean (all income levels)","Quito","-78.5243","-0.229498","Upper middle income","IBRD",58.54
"57","ESP","ES","Spain",2012,35.89,32235.5959172997,5.66093880333453,"Europe & Central Asia (all income levels)","Madrid","-3.70327","40.4167","High income: OECD","Not classified",79.79
"58","EST","EE","Estonia",2012,33.15,25921.0285969625,13.3240003749917,"Europe & Central Asia (all income levels)","Tallinn","24.7586","59.4392","High income: OECD","Not classified",74.66
"60","FIN","FI","Finland",2012,27.12,40437.5938723363,9.01853833350788,"Europe & Central Asia (all income levels)","Helsinki","24.9525","60.1608","High income: OECD","Not classified",75.72
"62","FRA","FR","France",2012,33.1,37462.3250299433,5.07093102186285,"Europe & Central Asia (all income levels)","Paris","2.35097","48.8566","High income: OECD","Not classified",71.05
"65","GBR","GB","United Kingdom",2012,32.57,37569.3152811917,7.33431085881856,"Europe & Central Asia (all income levels)","London","-0.126236","51.5002","High income: OECD","Not classified",77.35
"66","GEO","GE","Georgia",2012,41.35,8026.50712956533,1.92313777777778,"Europe & Central Asia (all income levels)","Tbilisi","44.793","41.71","Lower middle income","Blend",47.23
"69","GIN","GN","Guinea",2012,33.73,1219.54715182902,0.221998428552227,"Sub-Saharan Africa (all income levels)","Conakry","-13.7","9.51667","Low income","IDA",28.03
"73","GRC","GR","Greece",2012,36.68,25980.0865157009,7.24036725721686,"Europe & Central Asia (all income levels)","Athens","23.7166","37.9792","High income: OECD","Not classified",73.28
"80","HND","HN","Honduras",2012,57.4,4632.09510795154,1.16132340571792,"Latin America & Caribbean (all income levels)","Tegucigalpa","-87.4667","15.1333","Lower middle income","IDA",48.87
"81","HRV","HR","Croatia",2012,32.51,21016.0187293145,4.25598222683793,"Europe & Central Asia (all income levels)","Zagreb","15.9614","45.8069","High income: nonOECD","IBRD",62.23
"82","HTI","HT","Haiti",2012,60.79,1614.08582057792,0.225248590024053,"Latin America & Caribbean (all income levels)","Port-au-Prince","-72.3288","18.5392","Low income","IDA",19.01
"83","HUN","HU","Hungary",2012,30.55,22701.4502235308,4.48784500001109,"Europe & Central Asia (all income levels)","Budapest","19.0408","47.4984","High income: OECD","Not classified",70.28
"87","IRL","IE","Ireland",2012,32.52,46063.3445925379,7.7874534788987,"Europe & Central Asia (all income levels)","Dublin","-6.26749","53.3441","High income: OECD","Not classified",74.67
"90","ISL","IS","Iceland",2012,26.94,40278.3870438051,5.83123386422879,"Europe & Central Asia (all income levels)","Reykjavik","-21.8952","64.1353","High income: OECD","Not classified",76.5
"92","ITA","IT","Italy",2012,35.16,35899.7799658795,6.20504432360671,"Europe & Central Asia (all income levels)","Rome","12.4823","41.8955","High income: OECD","Not classified",74.36
"96","KAZ","KZ","Kazakhstan",2012,27.46,23248.9925905127,14.5741598464693,"Europe & Central Asia (all income levels)","Astana","71.4382","51.1879","Upper middle income","IBRD",51.07
"98","KGZ","KG","Kyrgyz Republic",2012,27.36,2922.70287320038,1.804986445998,"Europe & Central Asia (all income levels)","Bishkek","74.6057","42.8851","Low income","IDA",40.63
"99","KHM","KH","Cambodia",2012,30.76,2846.65744469837,0.367880406586861,"East Asia & Pacific (all income levels)","Phnom Penh","104.874","11.5556","Low income","IDA",35.44
